col1,col2
329,45
374,27
478,3
219,7
109,6
320,48
770,37
642,10
685,46
332,16
790,4
116,38
297,24
75,13
345,14
356,49
838,19
934,35
47,20
318,33
81,21
666,1
858,47
482,2
706,43
2,30
507,40
202,42
41,9
210,18
987,5
877,22
59,17
64,31
892,36
454,8
239,34
490,32
390,12
62,28
577,29
592,23
381,25
509,15
875,11
822,39
454,41
909,26
988,50
794,44
537,11
110,25
306,22
356,7
31,37
509,28
534,30
184,12
455,39
269,17
487,42
779,46
718,23
154,43
712,40
583,5
459,31
551,34
626,50
838,35
106,15
18,14
961,2
105,29
418,18
805,24
430,4
469,6
588,32
509,21
118,20
59,16
850,26
4,49
126,1
836,19
423,48
435,9
552,3
536,33
987,13
179,41
668,27
887,10
931,36
37,44
11,45
626,38
850,8
522,47
46,3
845,6
36,43
638,8
469,27
400,46
382,50
600,31
75,10
883,48
560,1
919,44
105,26
736,16
462,23
751,37
84,12
78,42
683,34
937,32
518,25
43,17
608,4
833,7
588,29
765,13
375,36
393,14
748,2
465,19
560,15
769,21
179,24
68,30
835,9
680,45
170,35
930,38
300,40
528,49
289,28
994,41
832,11
648,5
16,18
556,47
214,22
209,39
131,20
337,33
809,33
499,29
482,7
614,30
931,27
739,40
123,26
823,23
155,20
595,44
762,18
126,37
254,24
504,15
952,1
880,17
697,28
540,25
785,48
907,31
591,50
441,49
88,12
428,22
264,41
492,19
991,10
628,46
694,43
235,38
938,3
4,32
653,34
291,4
903,47
97,6
876,45
556,21
324,2
920,9
520,39
920,8
368,36
860,35
452,5
403,11
359,14
101,13
243,42
626,16
464,30
109,26
719,47
745,2
167,7
606,48
68,18
868,32
242,39
867,42
804,31
450,13
973,12
304,9
761,1
516,25
588,43
149,17
536,41
423,19
179,36
362,11
340,16
777,37
954,10
53,35
584,28
895,22
421,20
992,8
480,45
669,4
330,50
967,38
642,5
733,3
171,23
225,33
695,14
448,21
502,27
297,29
88,46
759,40
949,15
539,44
842,34
225,49
683,24
7,6
610,50
102,22
898,45
519,39
767,47
716,10
367,48
288,26
381,4
305,2
255,34
577,40
